Student ID,Timestamp,Grade,Please select any of the following that apply to your request:,Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate add #1a],Drop/Add Course Pair #1 [Alternate add #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate add #2a],Drop/Add Course Pair #2 [Alternate add #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate add #3a],Drop/Add Course Pair #3 [Alternate add #3b],Drop/Add Course Pair #4 [Drop #4],Drop/Add Course Pair #4 [Add #4],Drop/Add Course Pair #4 [Alternate add #4a],Drop/Add Course Pair #4 [Alternate add #4b],Drop/Add Course Pair #1 [Drop #1],Drop/Add Course Pair #1 [Add #1],Drop/Add Course Pair #1 [Alternate #1a],Drop/Add Course Pair #1 [Alternate #1b],Drop/Add Course Pair #2 [Drop #2],Drop/Add Course Pair #2 [Add #2],Drop/Add Course Pair #2 [Alternate #2a],Drop/Add Course Pair #2 [Alternate #2b],Drop/Add Course Pair #3 [Drop #3],Drop/Add Course Pair #3 [Add #3],Drop/Add Course Pair #3 [Alternate #3a],Drop/Add Course Pair #3 [Alternate #3b]
S342,10/20/2023 10:08:41,11,None of these apply,,,,,,,,,,,,,,,,,PA1007 Pilates & Yoga,None,None,None,,,,,,,,
S592,10/24/2023 9:49:53,12,None of these apply,BI4110 Molecular Genetics (*R*),HU4010 Applications in Entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,
S298,10/29/2023 19:41:01,11,I have a block conflict (two classes that meet at the same time),MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,MA4046 Calculus II,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,,,
S115,10/20/2023 18:16:25,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,PH3500 Physics Core: Mechanics,BI4010 Anatomy & Physiology,CS4020 Web Development,,,,,,,,,,,,,,,,,,,,,,,,
S593,10/20/2023 11:08:53,12,None of these apply,SS4070 AP Macroeconomics,HU4411 Critical Legal Studies,"HU4490 Women's, Gender, and Sexuality Studies",HU4440 Film Studies,,,,,,,,,,,,,RE1018 Excellence in Leadership,RE1020 Financial Planning,,,,,,,,,,
S152,10/29/2023 17:25:23,11,None of these apply,FR3652 Navigating in French II,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,PH4150/EE4150 Elements of Satellite Design,,,,,,,,,,,,,,,,,,,,,,,,
S189,10/22/2023 21:23:56,11,"I am short scheduled (fewer than 5 core classes), I am missing a graduation requirement",CH4020 AP Chemistry (I): Atoms & Molecules (*M*),PH4020 Physics Core: Mechanics (Math Intensive) (*M*),BI4130 Aquatic Ecology (*R*),EE4160 Civil Engineering,BI4030 Environmental Science (*R*),BI4110 Molecular Genetics (*R*),PH4020 Physics Core: Mechanics (Math Intensive) (*M*),EE4160 Civil Engineering,,EE4160 Civil Engineering,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),BI4130 Aquatic Ecology (*R*),,,,,,,,,,,,,,,,
S262,10/27/2023 20:26:10,11,None of these apply,CS4040 Game Design and Simulation,EE4520 Biomedical Instrumentation,EE4020 Electrical Engineering,EE4180 Environmental Engineering,EN4600 Research Experience in the Humanities,SP3652 Navigating in Spanish II,BI4140 Molecular & Cellular Biol,BI4030 Environmental Science (*R*),,,,,,,,,,,,,,,,,,,,
S224,10/21/2023 19:10:15,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,None,None,,,,,,,,
S596,10/29/2023 14:01:17,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,CH4130 Organic Chemistry,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,,,,,,,,,
S190,10/20/2023 10:31:21,11,I am missing a graduation requirement,CH4130 Organic Chemistry,CS4020 Web Development,CH4120 AP Chemistry (II): Kinetics & Energy,CS4040 Game Design and Simulation,FR3652 Navigating in French II,CH4120 AP Chemistry (II): Kinetics & Energy,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",EE4020 Electrical Engineering,,,,,,,,,,,,,,,,,,,,
S597,10/29/2023 19:42:29,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,HU4010 Applications in Entrepreneurship,EN4300 Creative Writing,HU4440 Film Studies,,,,,,,,,,,,,,,,,,,,,,,,
S321,10/28/2023 22:02:55,11,None of these apply,PH4241 AP Physics C: E&M,PH4150/EE4150 Elements of Satellite Design,PH4120 Physics Core: E&M (Math Intensive) (*M*),"PH3920 Waves Sound, and Optics",MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,,,,,,,,,,,PA1020 Fit for Life,PA1009 Hiking,,,,,,,,,,
S085,10/20/2023 10:56:19,11,None of these apply,,,,,,,,,,,,,,,,,,MU4110 Wind Ensemble,,,,AR4100 Drawing,MU3500 Classical Piano and Guitar,,,,,
S097,10/26/2023 13:31:28,11,I am missing a graduation requirement,SS4050 AP Psychology,CH4000 Chemistry Core II - Reactions & Energy,EN4600 Research Experience in the Humanities,CS4020 Web Development,,,,,,,,,,,,,,,,,,,,,,,,
S595,10/20/2023 10:35:22,12,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,BI4140 Molecular & Cellular Biol,BI4160 Neuroscience (*R*),EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,
S595,10/23/2023 11:07:37,12,I am short scheduled (fewer than 5 core classes),CH4130 Organic Chemistry,HU4440 Film Studies,"HU4300 Whose America? Immigrant Experiences, 1910-present",BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S598,10/20/2023 9:49:57,12,None of these apply,EE4180 Environmental Engineering,EE4520 Biomedical Instrumentation,,,PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",,,,BI4160 Neuroscience (*R*),,,,,,,,,,,,,,,,,,
S599,10/25/2023 21:48:31,12,None of these apply,MA4300 Combinatorics and Game Theory,HU4420 Digital Humanities,EE4020 Electrical Engineering,PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S600,10/29/2023 16:06:57,12,I do not meet the pre-requisite for a class on my schedule,MA4240 Numerical Analysis,MA4060 Multivariable Calculus,EE4160 Civil Engineering,EE4020 Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,
S183,10/24/2023 15:43:13,11,None of these apply,,,,,,,,,,,,,,,,,PA1020 Fit for Life,,,,,,,,,,,
S601,10/20/2023 12:03:13,12,None of these apply,EE4020 Electrical Engineering,BI4010 Anatomy & Physiology,SE4001 Emergency Care,BI4030 Environmental Science (*R*),PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",PH4180 Astrophysics (*R*),,,,,,,,,,,,,,,,,,,,
S602,10/29/2023 20:58:40,12,None of these apply,BI4140 Molecular & Cellular Biol,HU4400 Black Studies,HU4411 Critical Legal Studies,,,,,,,,,,,,,,,,,,,,,,,,,
S604,10/28/2023 20:56:23,12,None of these apply,BI4130 Aquatic Ecology (*R*),PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,,,,,,,,,,,,,
S605,10/27/2023 8:36:27,12,None of these apply,"HU4490 Women's, Gender, and Sexuality Studies",HU4410 Critical Race Theory,"BI4160 Neuroscience (*R*), HU4440 Film Studies",HU4400 Black Studies,MA4240 Numerical Analysis,CH4130 Organic Chemistry,BI4160 Neuroscience (*R*),HU4420 Digital Humanities,,,,,,,,,None,MU4100 Chorale,,,,,,,,,,
S278,10/29/2023 23:25:47,11,I've been accepted to a Research program,EE4020 Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,
S607,10/20/2023 10:23:33,12,None of these apply,PH4180 Astrophysics (*R*),CS4320 Machine Learning,,,EN4440 Philosophy and Literature in the Twentieth Century,EN4470 STEM and the Stage,,,,,,,,,,,,,,,,,,,,,,
S172,10/21/2023 13:58:44,11,None of these apply,MA4300 Combinatorics and Game Theory,MA4060 Multivariable Calculus,CS4200/MA4200 Cryptography,MA4300 Combinatorics and Game Theory,CH4130 Organic Chemistry,CH4120 AP Chemistry (II): Kinetics & Energy,CH4130 Organic Chemistry,CH4130 Organic Chemistry,,,,,,,,,,,,,,,,,,,,
S608,10/20/2023 10:00:26,12,None of these apply,CS4200/MA4200 Cryptography,CS4020 Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,
S133,10/27/2023 22:43:30,11,None of these apply,BI4010 Anatomy & Physiology,SS4070 AP Macroeconomics,,,,,,,,,,,,,,,,,,,,,,,,,,
S609,10/28/2023 19:12:59,12,None of these apply,EE4100 Introductory Robotics,MA4300 Combinatorics and Game Theory,HU4420 Digital Humanities,None - I'm short/over scheduled,,,,,,,,,,,,,,,,,,,,,,,,
S610,10/27/2023 13:41:51,12,I have a block conflict (two classes that meet at the same time),EN4440 Philosophy and Literature in the Twentieth Century,CH4130 Organic Chemistry,EN4212 East Asian Studies II,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,,,,,,,,,,,,,,,,,,,,,,,
S613,10/26/2023 14:07:28,12,None of these apply,EN4212 East Asian Studies II,"HU4300 Whose America? Immigrant Experiences, 1910-present",EN4481 Topics in Literature I,HU4440 Film Studies,,,,,,,,,,,,,,,,,,,,,,,,
S614,10/29/2023 21:25:24,12,None of these apply,"HU4490 Women's, Gender, and Sexuality Studies",HU4411 Critical Legal Studies,HU4440 Film Studies,,CS4040 Game Design and Simulation,EE4020 Electrical Engineering,CS4020 Web Development,,,,,,,,,,AR4310 Digital Photography,AR4100 Drawing,AR4110 Painting,,,,,,,,,
S615,10/22/2023 20:18:24,12,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,SE4001 Emergency Care,BI3700 Evolution,BI4130 Aquatic Ecology (*R*),EN4242 Western European Cultural Studies II,HU4410 Critical Race Theory,HU4420 Digital Humanities,"BI4030 Environmental Science (*R*), HU4490 Women's, Gender, and Sexuality Studies",,,,,,,,,,,,,,,,,,,,
S617,10/20/2023 12:42:17,12,None of these apply,CS4200/MA4200 Cryptography,MA4060 Multivariable Calculus,,,,,,,,,,,,,,,,,,,,,,,,,,
S618,10/26/2023 19:26:41,12,None of these apply,EN4440 Philosophy and Literature in the Twentieth Century,EN4470 STEM and the Stage,EN4300 Creative Writing,,,,,,,,,,,,,,,,,,,,,,,,,
S119,10/26/2023 13:24:28,11,None of these apply,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,EN4600 Research Experience in the Humanities,EE4180 Environmental Engineering,SS4070 AP Macroeconomics,MA4014 Calculus Ib with AP Exam Prep,MA4016 Calculus Ib,MA4014 Calculus Ib with AP Exam Prep,,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),EE4100 Introductory Robotics,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),PH4000 Physics Core: E&M,None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,SS4050 AP Psychology,SS4070 AP Macroeconomics,,,,,,,,,,,,
S018,10/24/2023 17:27:10,11,I am short scheduled (fewer than 5 core classes),SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,PH3500 Physics Core: Mechanics,,,CH3500 Chemistry Core I - Atoms & Molecules,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH3500 Chemistry Core I - Atoms & Molecules,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,AR4110 Painting,AR4310 Digital Photography,,,,,,,,,
S623,10/23/2023 10:21:37,12,None of these apply,,,,,,,,,,,,,,,,,None,MU4100 Chorale,None,None,,,,,,,,
S215,10/26/2023 14:18:21,11,"I've been accepted to a Research program, None of these apply",PH3500 Physics Core: Mechanics,CH4120 AP Chemistry (II): Kinetics & Energy,CH4000 Chemistry Core II - Reactions & Energy,CH4130 Organic Chemistry,,,,,,,,,,,,,MU3500 Classical Piano and Guitar,None,None,None,,,,,,,,
S039,10/26/2023 15:11:43,11,None of these apply,PH4020 Physics Core: Mechanics (Math Intensive) (*M*),MA4110 Foundations of Data Science,EN4600 Research Experience in the Humanities,CS4020 Web Development,,,,,,,,,,,,,,,,,,,,,,,,
S020,10/29/2023 17:54:08,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,SP3652 Navigating in Spanish II,CS4020 Web Development,None - I'm short/over scheduled,BI4130 Aquatic Ecology (*R*),BI4030 Environmental Science (*R*),BI3700 Evolution,CH3500 Chemistry Core I - Atoms & Molecules,PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics",PH4020 Physics Core: Mechanics (Math Intensive) (*M*),,,,,PA1020 Fit for Life,None,None,None,,,,,,,,
S351,10/29/2023 21:27:48,11,None of these apply,SS4050 AP Psychology,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
S625,10/26/2023 0:35:39,12,None of these apply,BI3580 Classical Genetics (*M*),MA4210 Topics in Civic Mathematics,EN4440 Philosophy and Literature in the Twentieth Century,,MA4016 Calculus Ib,BI4030 Environmental Science (*R*),,,EN4483 Topics in Literature III,EN4440 Philosophy and Literature in the Twentieth Century,HU4480 Topics in American Studies: Asian American Studies,,,,,,,,,,,,,,,,,
S084,10/29/2023 23:58:18,11,I am missing a graduation requirement,CH3500 Chemistry Core I - Atoms & Molecules,PH4150/EE4150 Elements of Satellite Design,"PH3920 Waves Sound, and Optics",PH4000 Physics Core: E&M,SP3052 Journeys in Spanish II,BI4010 Anatomy & Physiology,BI4200 Immunology (*R*),BI4160 Neuroscience (*R*),,BI3700 Evolution,BI4200 Immunology (*R*),BI4010 Anatomy & Physiology,,,,,PA1020 Fit for Life,None,None,None,,RE1012 Public Speaking,RE1020 Financial Planning,RE1018 Excellence in Leadership,,,,
S626,10/29/2023 20:05:58,12,None of these apply,"None - I'm short/over scheduled, EN4440 Philosophy and Literature in the Twentieth Century",EN4470 STEM and the Stage,EN4481 Topics in Literature I,EN4242 Western European Cultural Studies II,,,,,,,,,,,,,,,,,,,,,,,,
S334,10/29/2023 22:25:19,11,None of these apply,,,,,,,,,,,,,,,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,PA1007 Pilates & Yoga,PA1007 Pilates & Yoga,,,,,,,,
S142,10/26/2023 13:33:33,11,None of these apply,BI4110 Molecular Genetics (*R*),BI4130 Aquatic Ecology (*R*),EN4600 Research Experience in the Humanities,BI4140 Molecular & Cellular Biol,SS4050 AP Psychology,EN4600 Research Experience in the Humanities,HU4440 Film Studies,"HU4490 Women's, Gender, and Sexuality Studies",,,,,,,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,PA1009 Hiking,,,,,,,,,
S087,10/20/2023 12:51:31,11,None of these apply,BI4110 Molecular Genetics (*R*),BI4030 Environmental Science (*R*),BI4140 Molecular & Cellular Biol,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,MU3500 Classical Piano and Guitar,,,,,,,,,,
S222,10/26/2023 21:54:56,11,None of these apply,EE4180 Environmental Engineering,EE4160 Civil Engineering,EE4020 Electrical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
S047,10/22/2023 10:14:06,11,None of these apply,PH4120 Physics Core: E&M (Math Intensive) (*M*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",CH4130 Organic Chemistry,CH4280 Materials Chemistry (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S139,10/29/2023 23:49:51,11,None of these apply,MA4110 Foundations of Data Science,CS4020 Web Development,EE4020 Electrical Engineering,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,None,AR4310 Digital Photography,AR4110 Painting,AR4100 Drawing,None,AR4310 Digital Photography,AR4100 Drawing,AR4110 Painting,,,,
S154,10/29/2023 20:45:31,11,None of these apply,,,,,,,,,,,,,,,,,AR4100 Drawing,,,,,,,,,,,
S627,10/27/2023 12:28:41,12,None of these apply,EN4300 Creative Writing,EN4212 East Asian Studies II,,,"PH3920 Waves Sound, and Optics",PH4120 Physics Core: E&M (Math Intensive) (*M*),"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",,,,,,,,,,RE1020 Financial Planning,RE1020 Financial Planning,RE1012 Public Speaking,,,,,,,,,
S188,10/22/2023 23:51:32,11,None of these apply,CH3500 Chemistry Core I - Atoms & Molecules,BI4140 Molecular & Cellular Biol,BI4110 Molecular Genetics (*R*),EE4020 Electrical Engineering,MA4230 Complex Systems and Modern Networks,MA4310 Topics in Theoretical Mathematics,,,,,,,,,,,,,,,,,,,,,,
S630,10/22/2023 14:05:45,12,None of these apply,EE4020 Electrical Engineering,SS4070 AP Macroeconomics,HU4400 Black Studies,HU4010 Applications in Entrepreneurship,,,,,,,,,,,,,None,AR4110 Painting,AR4100 Drawing,,,,,,,,,
S632,10/27/2023 11:32:10,12,"I am short scheduled (fewer than 5 core classes), I am missing a graduation requirement",None - I'm short/over scheduled,HU4420 Digital Humanities,EN4300 Creative Writing,EN4212 East Asian Studies II,,,,,,,,,,,,,,,,,,,,,,,,
S634,10/23/2023 20:45:42,12,None of these apply,EN4212 East Asian Studies II,None - I'm short/over scheduled,,,EN4483 Topics in Literature III,HU4411 Critical Legal Studies,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None
S635,10/29/2023 22:56:52,12,None of these apply,CH4130 Organic Chemistry,CH4120 AP Chemistry (II): Kinetics & Energy,MA4300 Combinatorics and Game Theory,SS4050 AP Psychology,CH4120 AP Chemistry (II): Kinetics & Energy,CH4280 Materials Chemistry (*R*),EE4020 Electrical Engineering,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,,,,,,,,
S218,10/24/2023 15:12:14,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EE4020 Electrical Engineering,EE4100 Introductory Robotics,MA4300 Combinatorics and Game Theory,,,,,,,,,,,,,PA1007 Pilates & Yoga,AR4310 Digital Photography,AR4100 Drawing,AR4110 Painting,,,,,,,,
S208,10/29/2023 0:20:43,11,None of these apply,BI4030 Environmental Science (*R*),PH4150/EE4150 Elements of Satellite Design,,,SS4070 AP Macroeconomics,BI4140 Molecular & Cellular Biol,MA4210 Topics in Civic Mathematics,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,,,,,,,
S257,10/20/2023 10:05:54,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,None,None,,,,,,,,
S025,10/29/2023 11:05:08,11,I am short scheduled (fewer than 5 core classes),,BI4140 Molecular & Cellular Biol,EE4180 Environmental Engineering,CS4200/MA4200 Cryptography,,,,,,,,,,,,,MU4130 Orchestra,,,,,,,,,,,
S637,10/29/2023 10:26:45,12,None of these apply,,,,,,,,,,,,,,,,,None,MU3500 Classical Piano and Guitar,,,,,,,,,,
S167,10/23/2023 12:53:50,11,None of these apply,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,MA4046 Calculus II,MA4046 Calculus II,,,,,,,,,,,,,,,,,,,,,,,,
S638,10/29/2023 13:09:58,12,None of these apply,EN4212 East Asian Studies II,EN4300 Creative Writing,EN4210 African Studies: Modern Africa,EN4481 Topics in Literature I,HU4420 Digital Humanities,CS4200/MA4200 Cryptography,,,,,,,,,,,,,,,,,,,,,,
S236,10/30/2023 0:03:39,11,I have a block conflict (two classes that meet at the same time),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S639,10/29/2023 20:17:07,12,I have a block conflict (two classes that meet at the same time),EE4180 Environmental Engineering,EE4160 Civil Engineering,CS4040 Game Design and Simulation,"MA4210 Topics in Civic Mathematics, SS4070 AP Macroeconomics",BI4160 Neuroscience (*R*),HU4440 Film Studies,,,,,,,,,,,,,,,,,,,,,,
S005,10/26/2023 23:32:13,11,None of these apply,EN4600 Research Experience in the Humanities,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,,,BI4010 Anatomy & Physiology,PH3500 Physics Core: Mechanics,EE4520 Biomedical Instrumentation,,,,,,,,,,PA1020 Fit for Life,,,,,,,,,,,
S643,10/22/2023 15:31:36,12,None of these apply,EN4212 East Asian Studies II,"CH4170/PH4170 Electrochemistry: Batteries, Fuel Cells and Solar Cells",EE4100 Introductory Robotics,PH4000 Physics Core: E&M,,,,,,,,,,,,,,,,,,,,,,,,
S109,10/28/2023 11:28:47,11,I am missing a graduation requirement,"BI4200 Immunology (*R*), SS4070 AP Macroeconomics",PH3500 Physics Core: Mechanics,PH4000 Physics Core: E&M,"PH3920 Waves Sound, and Optics","BI4200 Immunology (*R*), SS4070 AP Macroeconomics",EN4600 Research Experience in the Humanities,SP3052 Journeys in Spanish II,"CS4070/AR4070 Art, Technology, and Computing",,,,,,,,,,,,,,,,,,,,
S017,10/29/2023 20:39:14,11,None of these apply,SP3652 Navigating in Spanish II,CH4020 AP Chemistry (I): Atoms & Molecules (*M*),MA4300 Combinatorics and Game Theory,"BI4030 Environmental Science (*R*), MA4240 Numerical Analysis",,,,,,,,,,,,,MU4310 AP Music Theory,RE1012 Public Speaking,RE1018 Excellence in Leadership,RE1020 Financial Planning,,,,,,,,
S645,10/23/2023 17:59:28,12,None of these apply,MA4500 Graph Theory with REX Math,EE4520 Biomedical Instrumentation,BI4110 Molecular Genetics (*R*),BI4200 Immunology (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S288,10/21/2023 11:47:44,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,PH3500 Physics Core: Mechanics,CH4000 Chemistry Core II - Reactions & Energy,CS4040 Game Design and Simulation,,,,,,,,,,,,,,,,,,,,,,,,
S647,10/23/2023 16:19:27,12,None of these apply,CH4120 AP Chemistry (II): Kinetics & Energy,MA4300 Combinatorics and Game Theory,CS4320 Machine Learning,,EE4020 Electrical Engineering,CH4120 AP Chemistry (II): Kinetics & Energy,,,MA4210 Topics in Civic Mathematics,EE4540 Statics,EN4470 STEM and the Stage,"CS4070/AR4070 Art, Technology, and Computing",MA4110 Foundations of Data Science,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,
S001,10/28/2023 18:20:09,11,None of these apply,BI4211 AP Biology (II) (*R*),EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
S070,10/27/2023 22:13:18,11,None of these apply,BI4110 Molecular Genetics (*R*),SS4070 AP Macroeconomics,EE4160 Civil Engineering,MA4230 Complex Systems and Modern Networks,,,,,,,,,,,,,None,MU4100 Chorale,,,,,,,,,,
S649,10/20/2023 13:05:56,12,None of these apply,MA4110 Foundations of Data Science,EN4300 Creative Writing,HU4010 Applications in Entrepreneurship,BI4010 Anatomy & Physiology,,,,,,,,,,,,,,,,,,,,,,,,
S061,10/20/2023 13:31:17,11,"I've been accepted to a Research program, I have a block conflict (two classes that meet at the same time)",CS4040 Game Design and Simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,
S049,10/29/2023 14:41:03,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,None,None,None,,,,,,,,
S651,10/28/2023 11:22:03,12,I am short scheduled (fewer than 5 core classes),,HU4440 Film Studies,SE4001 Emergency Care,,,,,,,,,,,,,,,,,AR4100 Drawing,,,,,,,,
S303,10/29/2023 22:26:42,11,None of these apply,,,,,,,,,,,,,,,,,PA1005 Weight Trng/Sprts & Fitness,,,,,,,,,,,
S652,10/20/2023 19:30:07,12,None of these apply,MA4050 Modeling with Differential Equations,PH4120 Physics Core: E&M (Math Intensive) (*M*),,,,,,,,,,,,,,,,,,,,,,,,,,
S340,10/29/2023 23:33:38,11,I've been accepted to a Research program,PH4120 Physics Core: E&M (Math Intensive) (*M*),PH4241 AP Physics C: E&M,PH4241 AP Physics C: E&M,PH4241 AP Physics C: E&M,BI4030 Environmental Science (*R*),CH4120 AP Chemistry (II): Kinetics & Energy,CS4270 Fundamentals of Object-Oriented Design,"BI4140 Molecular & Cellular Biol, CS4320 Machine Learning",AS4052 American Studies II,HU4410 Critical Race Theory,"HU4490 Women's, Gender, and Sexuality Studies",HU4411 Critical Legal Studies,,,,,None,MU4100 Chorale,,,PA1020 Fit for Life,PA1007 Pilates & Yoga,,,,,,
S038,10/20/2023 12:17:54,11,"I've been accepted to a Research program, None of these apply",,,,,,,,,,,,,,,,,None,MU4110 Wind Ensemble,,,,,,,,,,
S656,10/29/2023 14:43:06,12,None of these apply,"CS4070/AR4070 Art, Technology, and Computing",EN4210 African Studies: Modern Africa,HU4400 Black Studies,SS4070 AP Macroeconomics,,,,,,,,,,,,,,,,,,,,,,,,
S661,10/29/2023 23:06:57,12,None of these apply,CH4130 Organic Chemistry,SS4050 AP Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,
S257,10/22/2023 14:36:16,11,None of these apply,,EN4600 Research Experience in the Humanities,,,,,,,,,,,,,,,,,,,,,,,,,,
S164,10/27/2023 13:46:47,11,I've been accepted to a Research program,EE4300 Topics In Engineering - Robotics Design,MA4060 Multivariable Calculus,MA4050 Modeling with Differential Equations,CS4200/MA4200 Cryptography,,,,,,,,,,,,,MU4130 Orchestra,None,None,None,,,,,,,,
S663,10/25/2023 12:21:55,12,None of these apply,BI4110 Molecular Genetics (*R*),MA4230 Complex Systems and Modern Networks,,,,,,,,,,,,,,,,,,,,,,,,,,
S296,10/28/2023 21:36:56,11,"I am missing a graduation requirement, None of these apply",PH4020 Physics Core: Mechanics (Math Intensive) (*M*),BI4160 Neuroscience (*R*),MA4060 Multivariable Calculus,BI4110 Molecular Genetics (*R*),CS4200/MA4200 Cryptography,EN4600 Research Experience in the Humanities,BI4140 Molecular & Cellular Biol,SP4252 Topics in Advanced Spanish II: Afro-Spanish Caribbeans and their Contributions,,,,,,,,,,,,,,,,,,,,
S246,10/29/2023 22:43:01,11,I am short scheduled (fewer than 5 core classes),None - I'm short/over scheduled,EN4600 Research Experience in the Humanities,EN4300 Creative Writing,"BI4160 Neuroscience (*R*), BI4200 Immunology (*R*), CS4270 Fundamentals of Object-Oriented Design, SE4001 Emergency Care",,,,,,,,,,,,,,,,,,,,,,,,
S110,10/29/2023 22:40:56,11,None of these apply,MA4210 Topics in Civic Mathematics,SE4001 Emergency Care,EN4300 Creative Writing,CS4270 Fundamentals of Object-Oriented Design,,,,,,,,,,,,,,,,,,,,,,,,
S338,10/25/2023 13:35:39,11,I've been accepted to a Research program,CN4852 AP Chinese Language and Culture II,BI4160 Neuroscience (*R*),BI4110 Molecular Genetics (*R*),BI4200 Immunology (*R*),,,,,,,,,,,,,,,,,,,,,,,,
S247,10/29/2023 23:45:58,11,None of these apply,MA4046 Calculus II,MA4044 Calculus II with AP Exam Prep,MA4046 Calculus II,MA4046 Calculus II,EN4600 Research Experience in the Humanities,BI4140 Molecular & Cellular Biol,BI4160 Neuroscience (*R*),BI3580 Classical Genetics (*M*),,,,,,,,,,,,,,,,,,,,
S667,10/29/2023 19:24:52,12,"I do not meet the pre-requisite for a class on my schedule, I have a block conflict (two classes that meet at the same time)",PH4241 AP Physics C: E&M,LA4652 Sallust and Cicero II,,,MA4230 Complex Systems and Modern Networks,BI4010 Anatomy & Physiology,BI4160 Neuroscience (*R*),CS4200/MA4200 Cryptography,MA4240 Numerical Analysis,CS4200/MA4200 Cryptography,BI4160 Neuroscience (*R*),"BI4200 Immunology (*R*), CH4130 Organic Chemistry",,,,,RE1012 Public Speaking,RE1012 Public Speaking,RE1018 Excellence in Leadership,RE1020 Financial Planning,,,,,,,,
